Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
77,Goran Dragic\dragigo01,PG,31,MIA,5,5,156,35,75,.467,8,21,.381,27,54,.500,.520,15,22,.682,3,10,13,23,5,0,15,15,93
78,Luke Babbitt\babbilu01,SF,28,MIA,2,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
79,Bam Adebayo\adebaba01,C,20,MIA,5,0,77,7,15,.467,0,1,.000,7,14,.500,.467,3,14,.214,9,11,20,0,0,2,2,8,17
80,Tyler Zeller\zellety01,C,28,MIL,7,3,66,4,5,.800,0,0,,4,5,.800,.800,3,4,.750,2,12,14,3,4,3,1,11,11
81,Jason Terry\terryja01,SG,40,MIL,3,0,44,2,5,.400,2,5,.400,0,0,,.600,0,0,,1,1,2,2,1,0,1,2,6
82,Tony Snell\snellto01,SG,26,MIL,7,2,134,7,24,.292,5,21,.238,2,3,.667,.396,0,0,,1,12,13,4,3,4,3,10,19
83,Jabari Parker\parkeja01,PF,22,MIL,7,0,167,28,62,.452,6,19,.316,22,43,.512,.500,8,13,.615,8,35,43,10,7,4,6,15,70
84,Shabazz Muhammad\muhamsh01,SG,25,MIL,4,0,29,9,20,.450,4,5,.800,5,15,.333,.550,3,5,.600,0,4,4,0,2,1,2,2,25
85,Khris Middleton\middlkh01,SF,26,MIL,7,7,275,67,112,.598,25,41,.610,42,71,.592,.710,14,19,.737,1,35,36,22,6,5,16,30,173
86,Thon Maker\makerth01,C,20,MIL,6,2,130,11,28,.393,6,20,.300,5,8,.625,.500,5,7,.714,6,17,23,5,2,11,4,17,33
87,Brandon Jennings\jennibr01,PG,28,MIL,1,0,5,0,2,.000,0,2,.000,0,0,,.000,2,2,1.000,0,0,0,0,0,0,1,0,2
88,John Henson\hensojo01,C,27,MIL,2,2,74,9,13,.692,0,0,,9,13,.692,.692,1,2,.500,4,8,12,5,0,7,4,4,19
89,Matthew Dellavedova\dellama01,PG,27,MIL,6,0,78,4,12,.333,2,9,.222,2,3,.667,.417,2,2,1.000,1,4,5,16,2,0,6,6,12
90,Sterling Brown\brownst02,SG,22,MIL,3,0,13,3,5,.600,1,3,.333,2,2,1.000,.700,0,0,,1,1,2,0,1,0,0,2,7
91,Malcolm Brogdon\brogdma01,PG,25,MIL,7,5,186,24,55,.436,5,19,.263,19,36,.528,.482,8,10,.800,3,21,24,17,1,0,12,14,61
92,Eric Bledsoe\bledser01,PG,28,MIL,7,7,225,37,84,.440,7,22,.318,30,62,.484,.482,14,20,.700,3,22,25,26,7,6,15,19,95
93,Giannis Antetokounmpo\antetgi01,PF,23,MIL,7,7,280,69,121,.570,4,14,.286,65,107,.607,.587,38,55,.691,8,59,67,44,10,6,17,28,180
94,Andrew Wiggins\wiggian01,SF,22,MIN,5,5,164,30,68,.441,7,21,.333,23,47,.489,.493,12,20,.600,5,21,26,10,2,2,9,14,79
95,Karl-Anthony Towns\townska01,C,22,MIN,5,5,170,28,60,.467,3,11,.273,25,49,.510,.492,17,23,.739,15,52,67,11,2,5,12,14,76
96,Jeff Teague\teaguje01,PG,29,MIN,5,5,153,23,51,.451,7,18,.389,16,33,.485,.520,12,17,.706,3,15,18,29,3,2,14,19,65
97,Derrick Rose\rosede01,PG,29,MIN,5,0,119,29,57,.509,7,10,.700,22,47,.468,.570,6,7,.857,1,8,9,13,2,0,8,9,71
98,Tyus Jones\jonesty01,PG,21,MIN,4,0,55,2,7,.286,0,2,.000,2,5,.400,.286,0,0,,0,9,9,8,1,0,1,0,4
99,Taj Gibson\gibsota01,PF,32,MIN,5,5,123,14,22,.636,0,0,,14,22,.636,.636,3,3,1.000,7,13,20,2,1,2,4,8,31
100,Marcus Georges-Hunt\georgma01,SG,23,MIN,2,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0
101,Gorgui Dieng\dienggo01,C,28,MIN,5,0,70,6,18,.333,2,5,.400,4,13,.308,.389,3,4,.750,3,15,18,4,2,4,1,6,17
102,Jamal Crawford\crawfja01,SG,37,MIN,5,0,123,21,47,.447,7,17,.412,14,30,.467,.521,10,13,.769,1,12,13,12,5,0,5,6,59
103,Jimmy Butler\butleji01,SG,28,MIN,5,5,170,28,63,.444,8,17,.471,20,46,.435,.508,15,18,.833,3,27,30,20,4,1,5,9,79
104,Aaron Brooks\brookaa01,PG,33,MIN,2,0,3,2,3,.667,0,1,.000,2,2,1.000,.667,0,2,.000,0,0,0,0,0,0,0,0,4
105,Nemanja Bjelica\bjeline01,PF,29,MIN,5,0,47,7,16,.438,4,7,.571,3,9,.333,.563,5,7,.714,4,11,15,3,3,0,1,6,23
106,Rajon Rondo\rondora01,PG,31,NOP,9,9,302,38,92,.413,8,19,.421,30,73,.411,.457,9,14,.643,9,59,68,110,13,2,33,20,93
107,Emeka Okafor\okafoem01,C,35,NOP,1,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0
108,E'Twaun Moore\mooreet01,SG,28,NOP,9,9,284,41,88,.466,9,25,.360,32,63,.508,.517,11,16,.688,6,17,23,15,6,1,11,20,102
109,Nikola Mirotic\mirotni01,PF,26,NOP,9,9,320,49,102,.480,22,51,.431,27,51,.529,.588,15,19,.789,9,77,86,15,10,12,10,24,135
110,Darius Miller\milleda01,SF,27,NOP,9,0,162,14,34,.412,9,24,.375,5,10,.500,.544,6,6,1.000,2,18,20,11,5,0,6,10,43
111,DeAndre Liggins\liggide01,SG,29,NOP,3,0,14,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,0,0,0,2,0,1
112,Jrue Holiday\holidjr01,SG,27,NOP,9,9,348,88,170,.518,16,50,.320,72,120,.600,.565,21,30,.700,9,42,51,57,10,5,23,22,213
113,Solomon Hill\hillso01,SF,26,NOP,9,0,114,9,25,.360,6,16,.375,3,9,.333,.480,9,10,.900,6,11,17,7,1,1,6,17,33
114,Cheick Diallo\diallch01,PF,21,NOP,7,0,48,5,12,.417,0,0,,5,12,.417,.417,0,0,,4,5,9,0,1,1,1,9,10
115,Anthony Davis\davisan02,PF,24,NOP,9,9,358,106,204,.520,6,22,.273,100,182,.549,.534,53,64,.828,24,97,121,15,18,21,23,30,271
116,Jordan Crawford\crawfjo02,SG,29,NOP,2,0,15,8,13,.615,3,8,.375,5,5,1.000,.731,0,0,,0,4,4,1,1,0,3,1,19
117,Ian Clark\clarkia01,SG,26,NOP,9,0,190,28,66,.424,10,28,.357,18,38,.474,.500,4,4,1.000,2,8,10,11,8,2,9,20,70
118,Russell Westbrook\westbru01,PG,29,OKC,6,6,235,64,161,.398,15,42,.357,49,119,.412,.444,33,40,.825,11,61,72,45,9,0,31,21,176
119,Patrick Patterson\pattepa01,PF,28,OKC,6,0,58,3,6,.500,2,4,.500,1,2,.500,.667,0,0,,1,10,11,3,1,0,3,8,8
120,Dakari Johnson\johnsda04,C,22,OKC,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
121,Josh Huestis\huestjo01,PF,26,OKC,4,0,19,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,0,3,3,0,1,1,0,3,3
122,Jerami Grant\grantje01,PF,23,OKC,6,0,133,18,35,.514,2,8,.250,16,27,.593,.543,5,11,.455,8,12,20,6,4,3,6,15,43
123,Paul George\georgpa01,SF,27,OKC,6,6,251,49,120,.408,19,52,.365,30,68,.441,.488,31,36,.861,4,32,36,16,8,4,24,17,148
124,Terrance Ferguson\fergute01,SG,19,OKC,3,0,6,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,1,0,1,1,0,0,0,2,3
125,Raymond Felton\feltora01,PG,33,OKC,6,0,79,12,31,.387,7,14,.500,5,17,.294,.500,0,2,.000,2,11,13,9,4,2,5,7,31
126,Corey Brewer\breweco01,SG,31,OKC,6,6,151,13,25,.520,5,11,.455,8,14,.571,.620,6,6,1.000,4,9,13,5,7,5,2,17,37
127,Carmelo Anthony\anthoca01,PF,33,OKC,6,6,194,27,72,.375,6,28,.214,21,44,.477,.417,11,15,.733,3,31,34,2,10,4,6,14,71
128,Steven Adams\adamsst01,C,24,OKC,6,6,200,27,46,.587,0,0,,27,46,.587,.587,9,13,.692,19,26,45,9,4,4,4,15,63
129,Alex Abrines\abrinal01,SG,24,OKC,6,0,110,8,20,.400,6,13,.462,2,7,.286,.550,2,2,1.000,3,13,16,2,5,2,1,11,24
130,Ben Simmons\simmobe01,PG,21,PHI,10,10,369,61,125,.488,0,1,.000,61,124,.492,.488,41,58,.707,16,78,94,77,17,8,44,34,163
131,Dario Saric\saricda01,PF,23,PHI,10,10,329,59,140,.421,20,52,.385,39,88,.443,.493,34,40,.850,32,41,73,35,10,4,15,28,172
132,J.J. Redick\redicjj01,SG,33,PHI,10,10,342,60,135,.444,26,75,.347,34,60,.567,.541,36,42,.857,3,12,15,26,8,1,11,21,182
133,T.J. McConnell\mccontj01,PG,25,PHI,10,2,155,25,36,.694,2,3,.667,23,33,.697,.722,3,5,.600,6,20,26,23,6,0,6,13,55
134,Furkan Korkmaz\korkmfu01,SG,20,PHI,1,0,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,1,3
135,Amir Johnson\johnsam01,C,30,PHI,8,1,94,11,21,.524,0,0,,11,21,.524,.524,4,5,.800,14,9,23,9,2,1,3,10,26
136,Ersan Ilyasova\ilyaser01,PF,30,PHI,10,1,233,36,84,.429,9,31,.290,27,53,.509,.482,12,21,.571,26,50,76,13,7,4,10,25,93
